2024-03-13 19:49:28.010 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.19; built: 2023-12-15T20:38:32.477Z; git: 8492d1c78f122bb30cce20aecfa07e7283facd47; jvm 17.0.10+7
2024-03-13 19:49:29.704 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2024-03-13 19:49:29.846 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2024-03-13 19:49:29.901 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.5.0
2024-03-13 19:49:29.902 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2024-03-13 19:49:29.902 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: /opt/solr-9.5.0
2024-03-13 19:49:29.903 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2024-03-13T19:49:29.903508867Z
2024-03-13 19:49:29.920 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: /var/solr/logs/jvm_crash_12.log
2024-03-13 19:49:30.019 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: /var/solr/data (source: system property: solr.solr.home)
2024-03-13 19:49:30.111 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig solr.xml not found in SOLR_HOME, using built-in default
2024-03-13 19:49:30.111 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from /opt/solr-9.5.0/server/solr/solr.xml
2024-03-13 19:49:30.296 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/opt/solr-9.5.0/lib]
2024-03-13 19:49:33.176 INFO  (main) [c: s: r: x: t:] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2024-03-13 19:49:34.146 WARN  (main) [c: s: r: x: t:] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2024-03-13 19:49:34.155 WARN  (main) [c: s: r: x: t:] o.a.s.c.CoreContainer Not all security plugins configured!  authentication=disabled authorization=disabled.  Solr is only as secure as you make it. Consider configuring authentication/authorization before exposing Solr to users internal or external.  See https://s.apache.org/solrsecurity for more info
2024-03-13 19:49:34.885 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Found 2 core definitions underneath /var/solr/data
2024-03-13 19:49:34.885 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Cores are: [n11_restaurants, restaurant_service]
2024-03-13 19:49:35.033 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:restaurant_service t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-03-13 19:49:35.033 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-03-13 19:49:35.270 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.s.IndexSchema Schema name=default-config
2024-03-13 19:49:35.272 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:restaurant_service t:] o.a.s.s.IndexSchema Schema name=default-config
2024-03-13 19:49:35.359 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2024-03-13 19:49:36.230 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-03-13 19:49:36.694 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@655a5d9c{solr-jetty-context.xml,/solr,file:///opt/solr-9.5.0/server/solr-webapp/webapp/,AVAILABLE}{/opt/solr-9.5.0/server/solr-webapp/webapp}
2024-03-13 19:49:36.726 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened /var/solr/logs/2024_03_13.request.log
2024-03-13 19:49:36.742 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@2b95e48b{HTTP/1.1, (http/1.1, h2c)}{0.0.0.0:8983}
2024-03-13 19:49:36.746 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@376a312c{STARTING}[10.0.19,sto=0] @14377ms
2024-03-13 19:49:37.379 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-03-13 19:49:37.379 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:restaurant_service t:] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-03-13 19:49:37.379 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:restaurant_service t:] o.a.s.c.CoreContainer Creating SolrCore 'restaurant_service' using configuration from instancedir /var/solr/data/restaurant_service, trusted=true
2024-03-13 19:49:37.379 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.c.CoreContainer Creating SolrCore 'n11_restaurants' using configuration from instancedir /var/solr/data/n11_restaurants, trusted=true
2024-03-13 19:49:37.484 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:restaurant_service t:] o.a.s.c.SolrCore Opening new SolrCore at [/var/solr/data/restaurant_service], dataDir=[/var/solr/data/restaurant_service/data/]
2024-03-13 19:49:37.484 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.c.SolrCore Opening new SolrCore at [/var/solr/data/n11_restaurants], dataDir=[/var/solr/data/n11_restaurants/data/]
2024-03-13 19:49:38.580 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:restaurant_service t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-03-13 19:49:38.580 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-03-13 19:49:38.616 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:restaurant_service t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-03-13 19:49:38.616 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-03-13 19:49:38.616 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:restaurant_service t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-03-13 19:49:38.616 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-03-13 19:49:38.652 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:restaurant_service t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-03-13 19:49:38.653 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:restaurant_service t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-03-13 19:49:38.803 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-03-13 19:49:38.803 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:n11_restaurants t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-03-13 19:49:38.894 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:restaurant_service t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/restaurant_service/conf
2024-03-13 19:49:38.947 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:restaurant_service t:] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, accuracy=0.5, maxQueryFrequency=0.01, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4}
2024-03-13 19:49:38.965 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:restaurant_service t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
